batch_size,seq_len,latency_sec,latency_ms,throughput_tokens_per_sec,latency_per_token_ms,total_tokens,Pi_1,Pi_2
1,32,0.007536061108112335,7.536061108112335,4246.250068958835,0.23550190962851048,32,858.9934592,4.493569140863282e-07
1,64,0.0104870542883873,10.487054288387299,6102.762342984107,0.16386022325605154,64,1717.9869184,8.987138281726564e-07
1,128,0.015955020487308503,15.955020487308502,8022.553158224911,0.12464859755709767,128,3435.9738368,1.7974276563453128e-06
1,256,0.02943244520574808,29.43244520574808,8697.884195839899,0.11497048908495344,256,6871.9476736,3.5948553126906255e-06
1,512,0.05613162461668253,56.13162461668253,9121.417801398033,0.10963207932945807,512,13743.8953472,7.189710625381251e-06
2,64,0.015713918954133987,15.713918954133987,8145.644658955429,0.12276499182917178,128,3435.9738368,1.7974276563453128e-06
2,128,0.02882538518557946,28.82538518557946,8881.060854932468,0.11259916088116977,256,6871.9476736,3.5948553126906255e-06
2,256,0.05343894691516956,53.43894691516956,9581.027126390847,0.10437294319369055,512,13743.8953472,7.189710625381251e-06
2,512,0.11586703974753618,115.86703974753618,8837.716077248573,0.1131514060034533,1024,27487.7906944,1.4379421250762502e-05
4,64,0.028611053091784317,28.611053091784317,8947.590959995478,0.11176192613978249,256,6871.9476736,3.5948553126906255e-06
4,128,0.05245181998858849,52.45181998858849,9761.33907481936,0.1024449609152119,512,13743.8953472,7.189710625381251e-06
4,256,0.10911541214833657,109.11541214833657,9384.558788156586,0.10655801967610994,1024,27487.7906944,1.4379421250762502e-05
4,512,0.21190859836836656,211.90859836836657,9664.544127840934,0.10347099529705399,2048,54975.5813888,2.8758842501525004e-05
8,64,0.049983572339018185,49.98357233901819,10243.365490711885,0.0976241647246449,512,13743.8953472,7.189710625381251e-06
8,128,0.10473977072785298,104.73977072785299,9776.611051218315,0.10228493235141893,1024,27487.7906944,1.4379421250762502e-05
8,256,0.19668747391551733,196.68747391551733,10412.457688483366,0.0960388056228112,2048,54975.5813888,2.8758842501525004e-05
16,64,0.10352848985542853,103.52848985542853,9890.997168315273,0.10110204087444193,1024,27487.7906944,1.4379421250762502e-05
16,128,0.1868695417419076,186.8695417419076,10959.517430767653,0.09124489342866582,2048,54975.5813888,2.8758842501525004e-05
16,256,0.3842358274385333,384.2358274385333,10660.119925061497,0.09380757505823567,4096,109951.1627776,5.751768500305001e-05
32,64,0.18431972085187834,184.31972085187834,11111.127938642001,0.08999986369720622,2048,54975.5813888,2.8758842501525004e-05
32,128,0.36968570239841936,369.6857023984194,11079.68193908035,0.0902552984371141,4096,109951.1627776,5.751768500305001e-05
